month_year,province_code,total_pop,total_emp,emp_males,emp_females,total_full_emp,total_part_emp,total_unem,total_emp_rate,total_wage,total_wage_males,total_wage_females,total_avg_wage,avg_wage_males,avg_wage_females,total_median_wage,median_wage_males,median_wage_females,total_hours,total_average_hours,average_hours_males,average_hours_females,ei_claims,cpi,retail_sales,wholesale_sales,manufacturing_sales,food_services_receipts,travellers,vehicles,electric_power_generation,value,international_merchandise_imports,new_housing_price_index
1976-07-01,ON,6212.7,3741.3,2306.4,1434.9,3252.7,488.7,262.5,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,152842,39.4,42,35.1,NA,NA,NA,NA,NA,NA,NA,1845791,NA,NA,NA,NA
1976-07-01,PE,82.9,42.2,26.6,15.6,36.1,6.1,5.3,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991.1,42.2,45.8,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-07-01,QC,4745.2,2549.7,1639.7,910,2325.1,224.6,250.4,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,107277.7,39.8,42.1,35.6,NA,NA,NA,NA,NA,NA,NA,516829,NA,NA,NA,NA
1976-07-01,SK,657.9,381.9,250.6,131.2,319.7,62.1,17.5,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,17976.7,44.7,50.2,34.2,NA,NA,NA,NA,NA,NA,NA,36869,NA,NA,NA,NA
1976-08-01,AB,1334.5,861.3,535.1,326.2,739.2,122.2,32.7,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,37871.8,42.5,46.8,35.3,NA,NA,NA,NA,NA,NA,NA,68470,NA,NA,NA,NA
1976-08-01,BC,1882.8,1077.5,677.5,400,914.2,163.2,94.4,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,42968.5,38.5,41.2,33.9,NA,NA,NA,NA,NA,NA,NA,477978,NA,NA,NA,NA
1976-08-01,MB,738.9,439.7,269.9,169.8,380.1,59.5,19.7,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18798.6,41.3,44.7,35.7,NA,NA,NA,NA,NA,NA,NA,117764,NA,NA,NA,NA
1976-08-01,NB,483.6,232.7,149.5,83.2,206.9,25.8,26.9,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10214.1,40.2,42.5,35.7,NA,NA,NA,NA,NA,NA,NA,425236,NA,NA,NA,NA
1976-08-01,NL,371.6,156.5,106,50.5,144.1,12.3,25.5,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7474.7,43,45.7,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-08-01,NS,591.8,293.9,186.7,107.2,258,35.9,33.2,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,12838.5,40.9,43.8,35.6,NA,NA,NA,NA,NA,NA,NA,10628,NA,NA,NA,NA
1976-08-01,ON,6225.6,3754.5,2304.2,1450.2,3253.2,501.2,242.1,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,153562.8,39.3,42.1,34.9,NA,NA,NA,NA,NA,NA,NA,1849545,NA,NA,NA,NA
1976-08-01,PE,83,42.4,26.8,15.6,35.9,6.5,4.3,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990.9,42.3,46,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-08-01,QC,4753.2,2534.6,1629.1,905.5,2305.1,229.5,245.4,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,105247.9,39.8,42,35.7,NA,NA,NA,NA,NA,NA,NA,451518,NA,NA,NA,NA
1976-08-01,SK,659.4,387.5,251.4,136.1,325.1,62.4,19.5,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18711,45.8,51.3,35.5,NA,NA,NA,NA,NA,NA,NA,34092,NA,NA,NA,NA
1976-09-01,AB,1341.1,875.1,543.6,331.5,748.5,126.7,34.8,65.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36248.3,41.4,45.7,34.1,NA,NA,NA,NA,NA,NA,NA,41185,NA,NA,NA,NA
1976-09-01,BC,1886.2,1073.3,673.3,400,916.9,156.5,99.6,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,41258.5,38.1,41,33.3,NA,NA,NA,NA,NA,NA,NA,367125,NA,NA,NA,NA
1976-09-01,MB,739.7,437.1,268.3,168.7,377.7,59.4,21.7,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17723.9,40.2,43.8,34.5,NA,NA,NA,NA,NA,NA,NA,89821,NA,NA,NA,NA
1976-09-01,NB,484.3,232.6,149.8,82.8,207.5,25.1,28.1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,9731.2,39.9,42.6,35,NA,NA,NA,NA,NA,NA,NA,351759,NA,NA,NA,NA
1976-09-01,NL,372.1,157.8,106.7,51.1,145.6,12.2,24.7,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7167,42.6,45.5,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-09-01,NS,592.5,297.1,187.7,109.4,260.3,36.8,31.8,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11996,39.7,42.9,34.2,NA,NA,NA,NA,NA,NA,NA,4602,NA,NA,NA,NA
1976-09-01,ON,6235.4,3753.7,2309.1,1444.5,3250.3,503.4,227.7,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,144665.3,38.5,41.5,33.7,NA,NA,NA,NA,NA,NA,NA,1306412,NA,NA,NA,NA
1976-09-01,PE,83.2,43.5,27.4,16.1,37.4,6.1,4.2,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908.5,41.7,45.3,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-09-01,QC,4759.1,2535.3,1635.1,900.2,2307.6,227.7,249.8,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100019.4,39.2,41.6,34.7,NA,NA,NA,NA,NA,NA,NA,296391,NA,NA,NA,NA
1976-09-01,SK,660.6,389.8,253,136.7,330.8,59,14.3,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,17543.2,44,48.9,34.8,NA,NA,NA,NA,NA,NA,NA,27160,NA,NA,NA,NA
1976-10-01,AB,1347.7,870.2,544.7,325.5,741.5,128.7,36.4,64.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35492.2,40.5,45,32.9,NA,NA,NA,NA,NA,NA,NA,23931,NA,NA,NA,NA
1976-10-01,BC,1889.7,1081.2,678.2,403,921.6,159.6,94,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,41112.6,37.9,40.9,32.8,NA,NA,NA,NA,NA,NA,NA,300179,NA,NA,NA,NA
